,title,release,artist_name,user,silhouette_score
233,Fences,Fences,Phoenix,user1,0.5829449471254681
305,Move Along,Dirty Little Secret,The All-American Rejects,user1,0.575110360748816
664,Move Along,Dirty Little Secret,The All-American Rejects,user2,0.575110360748816
674,Punk Rock 101,...Plays Well With Others,Bowling For Soup,user2,0.573201296831592
117,1995,Lesser Matters,The Radio Dept.,user1,0.5727355378421765
208,Bedroom Talk,Drive Thru Records Greatest Hits,The Starting Line,user1,0.5708828090013274
726,One Shot,JLS,JLS,user2,0.5692996665560881
639,Larger Than Life,Greatest Hits - Chapter 1,Backstreet Boys,user2,0.5685641698615845
62,Rape Me,Nirvana,Nirvana,user1,0.5678472684182602
750,With You,In This Skin,Jessica Simpson,user2,0.5670649472418625
545,Don't Tell Me,The Best Damn Thing/Under My Skin,Avril Lavigne,user2,0.5668187489026165
576,The Great Escape,Boys Like Girls,Boys Like Girls,user2,0.5668017850205344
141,The Great Escape,Boys Like Girls,Boys Like Girls,user1,0.5668017850205344
720,Girls & Boys,The Young and The Hopeless,Good Charlotte,user2,0.5665360351621056
640,Bigger Than Us,Hannah Montana 2 Original Soundtrack / Meet Miley Cyrus,Hannah Montana,user2,0.566476367133282
695,Love Song,Between The Lines: Sara Bareilles Live At The Fillmore,Sara Bareilles,user2,0.5661743261742314
241,Bad Day,2007 Grammy Nominees,Daniel Powter,user1,0.5652414249290778
630,Bad Day,2007 Grammy Nominees,Daniel Powter,user2,0.5652414249290778
531,Sk8er Boi,Control Room - Live EP,Avril Lavigne,user2,0.5648071556525286
58,Sk8er Boi,Control Room - Live EP,Avril Lavigne,user1,0.5648071556525286
476,The Reason,The Reason,Hoobastank,user1,0.5640049352733509
174,Everyday I Love You Less and Less,Employment,Kaiser Chiefs,user1,0.5636859565696615
475,Pretty,Follow The Leader,Korn,user1,0.5636839505750922
427,Lips Of An Angel,Extreme Behavior,Hinder,user1,0.5636119426659717
278,Float On,Float On,Modest Mouse,user1,0.5610776868380196
206,The Ocean,Everglow_ The,Mae,user1,0.560902341011231
243,It Was A Good Day,Hip Hop - The Collection 3,Ice Cube,user1,0.560056637957174
